cuenta;descripcion;idcategoria;tipocontabilizacion;tiposaldo;idMoneda;usuario;fechacracion;fechamodificacion
000-1100-00;Cash - Operating Account;1;1;1;;luis;30/10/2020;30/10/2020
000-1110-00;Cash - Payroll;1;1;1;;luis;30/10/2020;30/10/2020
000-1120-00;Cash - Flex Benefits Program;1;1;1;;luis;30/10/2020;30/10/2020
000-1130-00;Petty Cash;1;1;1;;luis;30/10/2020;30/10/2020
000-1140-00;Savings;2;1;1;;luis;30/10/2020;30/10/2020
000-1200-00;Accounts Receivable;3;1;1;;luis;30/10/2020;30/10/2020
000-1205-00;Sales Discounts Available;3;1;1;;luis;30/10/2020;30/10/2020
000-1210-00;Allowance for Doubtful Accounts;3;1;1;;luis;30/10/2020;30/10/2020
000-1220-00;Credit Card Receivable;3;1;1;;luis;30/10/2020;30/10/2020
000-1220-01;Credit Card Receivable-AmericaCharge;3;1;1;;luis;30/10/2020;30/10/2020
000-1220-02;Credit Card Receivable-Retail;3;1;1;;luis;30/10/2020;30/10/2020
000-1220-03;Credit Card Receivable-Gold;3;1;1;;luis;30/10/2020;30/10/2020
000-1220-04;Credit Card Receivable-Platinum;3;1;1;;luis;30/10/2020;30/10/2020
000-1230-00;Interest Receivable;3;1;1;;luis;30/10/2020;30/10/2020
000-1240-00;Notes Receivable;4;1;1;;luis;30/10/2020;30/10/2020
000-1250-00;Other Receivables;3;1;1;;luis;30/10/2020;30/10/2020
000-1260-00;Employee Advances;3;1;1;;luis;30/10/2020;30/10/2020
000-1300-01;Inventory - Retail/Parts;5;1;1;;luis;30/10/2020;30/10/2020
000-1300-02;Inventory - Finished Goods;5;1;1;;luis;30/10/2020;30/10/2020
000-1310-01;Inventory Warehouse - Retail/Parts;5;1;1;;luis;30/10/2020;30/10/2020
000-1400-00;Prepaid Expenses;7;1;1;;luis;30/10/2020;30/10/2020
000-1410-00;Prepaid Insurance;7;1;1;;luis;30/10/2020;30/10/2020
